,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-04,,,173.970001,175.850006,173.578033,27436200
1,2019-03-05,175.940002,176.0,174.53999299999998,175.529999,173.26216100000002,19737400
2,2019-03-06,174.669998,175.490005,173.940002,174.520004,172.265228,20810400
3,2019-03-07,173.869995,174.440002,172.020004,172.5,170.27131699999998,24796400
4,2019-03-08,170.320007,173.070007,169.5,172.91000400000001,170.676025,23999400
5,2019-03-11,175.490005,179.119995,175.350006,178.899994,176.588608,32011000
6,2019-03-12,180.0,182.669998,179.369995,180.91000400000001,178.572662,32467600
7,2019-03-13,182.25,183.300003,180.919998,181.71000700000002,179.36231999999998,31032500
8,2019-03-14,183.899994,184.100006,182.559998,183.729996,181.356216,23579500
9,2019-03-15,184.850006,187.330002,183.740005,186.119995,183.71533200000002,39042900
10,2019-03-18,185.800003,188.389999,185.78999299999998,188.020004,185.59080500000002,26219800
11,2019-03-19,188.350006,188.990005,185.919998,186.529999,184.120056,31646400
12,2019-03-20,186.229996,189.490005,184.729996,188.16000400000001,185.72898899999998,31035200
13,2019-03-21,190.020004,196.330002,189.809998,195.08999599999999,192.569427,51034200
14,2019-03-22,195.33999599999999,197.690002,190.779999,191.050003,188.58165,42407700
15,2019-03-25,191.509995,191.979996,186.600006,188.740005,186.30148300000002,43845300
16,2019-03-26,191.66000400000001,192.880005,184.580002,186.78999299999998,184.376678,49800500
17,2019-03-27,188.75,189.759995,186.550003,188.470001,186.034973,29848400
18,2019-03-28,188.949997,189.559998,187.529999,188.720001,186.281738,20780400
19,2019-03-29,189.830002,190.080002,188.53999299999998,189.949997,187.49586499999998,23564000
20,2019-04-01,191.639999,191.679993,188.380005,191.240005,188.769211,27862000
21,2019-04-02,191.08999599999999,194.46000700000002,191.050003,194.020004,191.51328999999998,22765700
22,2019-04-03,193.25,196.5,193.149994,195.350006,192.826111,23271800
23,2019-04-04,194.78999299999998,196.369995,193.139999,195.690002,193.161682,19114300
24,2019-04-05,196.449997,197.100006,195.929993,197.0,194.454758,18526600
25,2019-04-08,196.419998,200.229996,196.33999599999999,200.100006,197.514709,25881700
26,2019-04-09,200.320007,202.850006,199.229996,199.5,196.92247,35768200
27,2019-04-10,198.679993,200.740005,198.179993,200.619995,198.027985,21695300
28,2019-04-11,200.850006,201.0,198.440002,198.949997,196.379578,20900800
29,2019-04-12,199.199997,200.139999,196.21000700000002,198.869995,196.300613,27760700
30,2019-04-15,198.580002,199.850006,198.009995,199.229996,196.65596000000002,17536600
31,2019-04-16,199.46000700000002,201.369995,198.559998,199.25,196.675705,25696400
32,2019-04-17,199.53999299999998,203.380005,198.610001,203.130005,200.505585,28906800
33,2019-04-18,203.119995,204.149994,202.520004,203.860001,201.226151,24195800
34,2019-04-22,202.830002,204.940002,202.33999599999999,204.529999,201.887497,19439500
35,2019-04-23,204.429993,207.75,203.899994,207.479996,204.799362,23323000
36,2019-04-24,207.360001,208.479996,207.050003,207.16000400000001,204.483505,17540600
37,2019-04-25,206.830002,207.759995,205.119995,205.279999,202.62780800000002,18543200
38,2019-04-26,204.899994,205.0,202.119995,204.300003,201.660461,18649100
39,2019-04-29,204.399994,205.970001,203.860001,204.610001,201.966461,22204700
40,2019-04-30,203.059998,203.399994,199.110001,200.669998,198.07736200000002,46534900
41,2019-05-01,209.88000499999998,215.309998,209.229996,210.520004,207.80011000000002,64827300
42,2019-05-02,209.83999599999999,212.649994,208.130005,209.149994,206.4478,31996300
43,2019-05-03,210.88999900000002,211.83999599999999,210.229996,211.75,209.014221,20892400
44,2019-05-06,204.28999299999998,208.83999599999999,203.5,208.479996,205.78646899999998,32443100
45,2019-05-07,205.880005,207.419998,200.830002,202.860001,200.239075,38763700
46,2019-05-08,201.899994,205.33999599999999,201.75,202.899994,200.278534,26339500
47,2019-05-09,200.399994,201.679993,196.66000400000001,200.720001,198.126709,34908600
48,2019-05-10,197.419998,198.850006,192.770004,197.179993,195.381973,41208700
49,2019-05-13,187.71000700000002,189.479996,182.850006,185.720001,184.026489,57430600
50,2019-05-14,186.41000400000001,189.699997,185.41000400000001,188.66000400000001,186.939667,36529700
51,2019-05-15,186.270004,191.75,186.020004,190.919998,189.17906200000002,26544700
52,2019-05-16,189.91000400000001,192.470001,188.83999599999999,190.080002,188.346725,33031400
53,2019-05-17,186.929993,190.899994,186.759995,189.0,187.276581,32879100
54,2019-05-20,183.520004,184.350006,180.279999,183.08999599999999,181.420471,38612300
55,2019-05-21,185.220001,188.0,184.699997,186.600006,184.89846799999998,28364800
56,2019-05-22,184.66000400000001,185.71000700000002,182.550003,182.779999,181.113281,29748600
57,2019-05-23,179.800003,180.53999299999998,177.809998,179.66000400000001,178.02174399999998,36529700
58,2019-05-24,180.199997,182.139999,178.619995,178.970001,177.338043,23714700
59,2019-05-28,178.919998,180.58999599999999,177.91000400000001,178.229996,176.604782,27948200
60,2019-05-29,176.419998,179.350006,176.0,177.380005,175.762527,28481200
61,2019-05-30,177.949997,179.229996,176.669998,178.300003,176.674149,21218400
62,2019-05-31,176.229996,177.990005,174.990005,175.070007,173.473602,27043600
63,2019-06-03,175.600006,177.919998,170.270004,173.300003,171.719727,40396100
64,2019-06-04,175.440002,179.830002,174.520004,179.639999,178.001923,30968000
65,2019-06-05,184.279999,184.990005,181.139999,182.53999299999998,180.875458,29773400
66,2019-06-06,183.080002,185.470001,182.149994,185.220001,183.531036,22526300
67,2019-06-07,186.509995,191.919998,185.770004,190.149994,188.416077,30684400
68,2019-06-10,191.809998,195.369995,191.619995,192.580002,190.823929,26220900
69,2019-06-11,194.860001,196.0,193.600006,194.809998,193.03358500000002,26932900
70,2019-06-12,193.949997,195.970001,193.389999,194.190002,192.41925,18221800
71,2019-06-13,194.699997,196.78999299999998,193.600006,194.149994,192.379593,21674600
72,2019-06-14,191.550003,193.58999599999999,190.300003,192.740005,190.98246799999998,18761500
73,2019-06-17,192.899994,194.96000700000002,192.169998,193.889999,192.121979,14669100
74,2019-06-18,196.050003,200.28999299999998,195.21000700000002,198.449997,196.640396,26551000
75,2019-06-19,199.679993,199.880005,197.309998,197.869995,196.065689,21124200
76,2019-06-20,200.369995,200.610001,198.029999,199.46000700000002,197.64119,21514000
77,2019-06-21,198.800003,200.850006,198.149994,198.779999,196.967377,47800600
78,2019-06-24,198.53999299999998,200.16000400000001,198.169998,198.580002,196.769211,18220400
